Program_Name,School,School_Type,Community_Of_Schools,Zip_Code,Dual_Language,Applications,Seat_Offers
Carson-Gore Elementary DL Two-Way Im Spanish,Carson-Gore Academy of Environmental Studies,DUAL LANGUAGE (DLC) - ELEM,LA MID-CITY COS,90018,No,26,0
Carson-Gore Elementary DL Two-Way Im Spanish,Carson-Gore Academy of Environmental Studies,DUAL LANGUAGE (DLC) - ELEM,LA MID-CITY COS,90018,Yes,14,0
Chapman Elementary DL Two-Way Im Mandarin,Chapman Elementary,DUAL LANGUAGE (DLC) - ELEM,GARDENA COS,90249,No,43,9
Chapman Elementary DL Two-Way Im Mandarin,Chapman Elementary,DUAL LANGUAGE (DLC) - ELEM,GARDENA COS,90249,Yes,24,8
Chatsworth Park Elementary UP/CD Magnet,Chatsworth Park Elementary UP/CD Magnet,MAGNET-SELF CONTAINED (ELEM),CNGA PK/CHTSWRTH COS,91311,No,770,380
Chatsworth Park Elementary UP/CD Magnet,Chatsworth Park Elementary UP/CD Magnet,MAGNET-SELF CONTAINED (ELEM),CNGA PK/CHTSWRTH COS,91311,Yes,11,3
Cienega Elementary DL Two-Way Im Spanish,Cienega Elementary,DUAL LANGUAGE (DLC) - ELEM,LA MID-CITY COS,90019,No,40,7
Cienega Elementary DL Two-Way Im Spanish,Cienega Elementary,DUAL LANGUAGE (DLC) - ELEM,LA MID-CITY COS,90019,Yes,21,2
Cimarron Avenue Elementary,Cimarron Avenue Elementary,ELEMENTARY SCHOOL,SOUTH MID-CITY COS,90250,No,46,4
Cimarron Avenue Elementary,Cimarron Avenue Elementary,ELEMENTARY SCHOOL,SOUTH MID-CITY COS,90250,Yes,3,0
Cimarron Avenue Elementary STEAM Magnet,Cimarron Avenue Elementary,MAGNET CENTER - ELEMENTARY,SOUTH MID-CITY COS,90250,No,67,14
Cimarron Avenue Elementary STEAM Magnet,Cimarron Avenue Elementary,MAGNET CENTER - ELEMENTARY,SOUTH MID-CITY COS,90250,Yes,1,1
