Program_Name,School_Name,School_Type,School_ZipCode,Applicant_ZipCode,Applications_count,Seat_Offers
Ambler Avenue Elementary DL Two-Way Im Spanish,Ambler Avenue Elementary,DUAL LANGUAGE (DLC) - ELEM,90746,90810,2,0
Ambler Avenue Elementary DL Two-Way Im Spanish,Ambler Avenue Elementary,DUAL LANGUAGE (DLC) - ELEM,90746,91344,1,0
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,90001,1,0
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,90002,2,0
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,90003,13,1
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,90006,1,0
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,90007,1,0
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,90008,2,0
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,90011,1,0
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,90016,1,0
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,90017,1,0
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,90018,1,0
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,90026,1,0
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,90027,1,0
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,90032,1,0
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,90247,90033,1,0
